benchmark,model,run,min_epoch,max_epoch,experiment
cifar10,ResNet18_32x32,2024_11_14-18_45_19,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_45_35,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_46_33,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-19_33_15,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-19_35_30,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-19_35_44,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-19_35_46,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-19_35_54,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-19_36_15,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-19_36_29,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-19_36_37,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-19_36_56,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-19_38_23,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-19_38_43,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-19_38_48,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-19_39_58,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-20_26_42,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-20_28_40,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-20_29_04,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-20_29_36,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-20_30_15,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-20_30_22,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-20_30_50,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-20_31_03,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-20_32_01,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-20_32_15,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-20_32_55,1,300,orig
cifar10,ResNet18_32x32,2025_03_19-20_07_46,1,500,exponential_lr
cifar10,ResNet18_32x32,2025_03_19-20_07_51,1,500,exponential_lr
cifar10,ResNet18_32x32,2025_03_19-20_07_56,1,500,exponential_lr
cifar10,ResNet18_32x32,2025_03_19-22_50_57,1,500,exponential_lr
cifar10,ResNet18_32x32,2025_03_19-22_51_01,1,500,exponential_lr
cifar10,ResNet18_32x32,2025_03_19-22_51_06,1,500,exponential_lr
cifar10,ResNet18_32x32,2025_03_20-01_32_15,1,500,exponential_lr
cifar10,ResNet18_32x32,2025_03_20-01_32_19,1,500,exponential_lr
cifar10,ResNet18_32x32,2025_03_20-01_32_25,1,500,exponential_lr
cifar10,ResNet18_32x32,2025_03_20-04_14_01,1,500,exponential_lr
